[ 2015-11-23T09:31:54+08:00 ] /jstc/jstc/Admin/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-11-23T09:31:54+08:00 ] /jstc/jstc/Admin/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-11-23T09:31:54+08:00 ] /jstc/jstc/Admin/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-11-23T09:31:54+08:00 ] /jstc/jstc/Admin/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 220 行.
[ 2015-11-23T09:31:54+08:00 ] /jstc/jstc/Admin/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 154 行.
[ 2015-11-23T09:31:54+08:00 ] /jstc/jstc/Admin/login | INFO: Run ParseTemplate Behavior [ RunTime:0.013599s ]
[ 2015-11-23T09:31:54+08:00 ] /jstc/jstc/Admin/login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.013681s ]
[ 2015-11-23T09:31:54+08:00 ] /jstc/jstc/Admin/login | INFO: Tag[ view_filter ] --START--
[ 2015-11-23T09:31:54+08:00 ] /jstc/jstc/Admin/login | INFO: Run ContentReplace Behavior [ RunTime:0.000675s ]
[ 2015-11-23T09:31:54+08:00 ] /jstc/jstc/Admin/login | INFO: Run TokenBuild Behavior [ RunTime:0.000744s ]
[ 2015-11-23T09:31:54+08:00 ] /jstc/jstc/Admin/login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000269s ]
[ 2015-11-23T09:31:54+08:00 ] /jstc/jstc/Admin/login | INFO: Run ShowRuntime Behavior [ RunTime:0.000542s ]
[ 2015-11-23T09:31:54+08:00 ] /jstc/jstc/Admin/login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002355s ]
[ 2015-11-23T09:31:54+08:00 ] /jstc/jstc/Admin/login | INFO: Tag[ view_end ] --START--
[ 2015-11-23T09:31:54+08:00 ] /jstc/jstc/Admin/login | INFO: Run ShowPageTrace Behavior [ RunTime:0.000409s ]
[ 2015-11-23T09:31:54+08:00 ] /jstc/jstc/Admin/login | INFO: Tag[ view_end ] --END-- [ RunTime:0.000439s ]
[ 2015-11-23T09:32:05+08:00 ] /jstc/jstc/Admin/check | INFO: Tag[ route_check ] --START--
[ 2015-11-23T09:32:05+08:00 ] /jstc/jstc/Admin/check | INFO: Run CheckRoute Behavior [ RunTime:0.000384s ]
[ 2015-11-23T09:32:05+08:00 ] /jstc/jstc/Admin/check | INFO: Tag[ route_check ] --END-- [ RunTime:0.000528s ]
[ 2015-11-23T09:32:05+08:00 ] /jstc/jstc/Admin/check | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 122 行.
[ 2015-11-23T09:32:05+08:00 ] /jstc/jstc/Admin/check | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead common.php 第 66 行.
[ 2015-11-23T09:32:05+08:00 ] /jstc/jstc/Admin/check | INFO: Tag[ app_begin ] --START--
[ 2015-11-23T09:32:05+08:00 ] /jstc/jstc/Admin/check | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000217s ]
[ 2015-11-23T09:32:05+08:00 ] /jstc/jstc/Admin/check | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000239s ]
[ 2015-11-23T09:32:05+08:00 ] /jstc/jstc/Admin/check | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2015-11-23T09:32:05+08:00 ] /jstc/jstc/Admin/check | SQL: SHOW COLUMNS FROM `user` [ RunTime:0.005884s ]
[ 2015-11-23T09:32:05+08:00 ] /jstc/jstc/Admin/check | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2015-11-23T09:32:05+08:00 ] /jstc/jstc/Admin/check | SQL: SELECT * FROM `user` WHERE ( `username` = 'admin' ) AND ( `password` = 'admin' ) AND ( `status` = 1 )  [ RunTime:0.001791s ]
[ 2015-11-23T09:32:05+08:00 ] /jstc/jstc/admin | INFO: Tag[ route_check ] --START--
[ 2015-11-23T09:32:05+08:00 ] /jstc/jstc/admin | INFO: Run CheckRoute Behavior [ RunTime:0.000260s ]
[ 2015-11-23T09:32:05+08:00 ] /jstc/jstc/admin | INFO: Tag[ route_check ] --END-- [ RunTime:0.000296s ]
[ 2015-11-23T09:32:05+08:00 ] /jstc/jstc/admin | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 122 行.
[ 2015-11-23T09:32:05+08:00 ] /jstc/jstc/admin | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead common.php 第 66 行.
[ 2015-11-23T09:32:05+08:00 ] /jstc/jstc/admin | INFO: Tag[ app_begin ] --START--
[ 2015-11-23T09:32:05+08:00 ] /jstc/jstc/admin | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000172s ]
